iter	Passed	Remaining
771	6961	2055
772	6968	2046
773	6976	2037
774	6985	2028
775	6994	2018
776	7003	2009
777	7012	2000
778	7020	1991
779	7030	1982
780	7039	1973
781	7048	1964
782	7057	1955
783	7065	1946
784	7073	1937
785	7081	1928
786	7089	1918
787	7098	1909
788	7107	1900
789	7116	1891
790	7124	1882
791	7132	1873
792	7140	1863
793	7148	1854
794	7157	1845
795	7165	1836
796	7175	1827
797	7184	1818
798	7192	1809
799	7201	1800
800	7209	1791
801	7217	1781
802	7226	1772
803	7235	1763
804	7243	1754
805	7252	1745
806	7262	1736
807	7271	1727
808	7281	1719
809	7289	1709
810	7300	1701
811	7309	1692
812	7318	1683
813	7327	1674
814	7335	1665
815	7345	1656
816	7354	1647
817	7365	1638
818	7374	1629
819	7383	1620
820	7392	1611
821	7401	1602
822	7411	1593
823	7419	1584
824	7430	1576
825	7439	1567
826	7448	1558
827	7457	1549
828	7466	1540
829	7475	1531
830	7485	1522
831	7495	1513
832	7504	1504
833	7513	1495
834	7522	1486
835	7530	1477
836	7539	1468
837	7549	1459
838	7559	1450
839	7567	1441
840	7576	1432
841	7586	1423
842	7595	1414
843	7604	1405
844	7612	1396
845	7622	1387
846	7630	1378
847	7639	1369
848	7648	1360
849	7657	1351
850	7666	1342
851	7676	1333
852	7687	1324
853	7696	1315
854	7705	1306
855	7715	1297
856	7723	1288
857	7732	1279
858	7741	1270
859	7750	1261
860	7758	1252
861	7766	1243
862	7774	1234
863	7783	1225
864	7791	1216
865	7799	1206
866	7809	1197
867	7817	1188
868	7826	1179
869	7834	1170
870	7842	1161
871	7850	1152
872	7859	1143
873	7869	1134
874	7877	1125
875	7886	1116
876	7894	1107
877	7902	1098
878	7910	1088
879	7918	1079
880	7927	1070
881	7937	1061
882	7945	1052
883	7953	1043
884	7962	1034
885	7970	1025
886	7978	1016
887	7986	1007
888	7997	998
889	8006	989
890	8017	980
891	8025	971
892	8033	962
893	8041	953
894	8049	944
895	8059	935
896	8067	926
897	8076	917
898	8084	908
899	8092	899
900	8101	890
901	8109	881
902	8117	872
903	8127	863
904	8135	853
905	8143	844
906	8152	835
907	8160	826
908	8168	817
909	8176	808
910	8186	799
911	8195	790
912	8203	781
913	8211	772
914	8219	763
915	8227	754
916	8235	745
917	8244	736
918	8254	727
919	8263	718
920	8272	709
921	8281	700
